variable,log_odds,or,ci_lower,ci_upper,p_value,n_obs
const,-3.971292158904846,0.018849061409922846,3.427113526641149e-11,10366949.132941443,0.6989383056459433,5400
log_total_award,-0.4260168547178332,0.6531053341217855,0.5933640811184675,0.7188614731351887,3.2036331921411814e-18,5400
is_training,-0.05747655840147808,0.9441440223721359,0.6142471357392684,1.4512203364337957,0.7932800770815783,5400
act_K/R00 (Career Dev),0.2102745259622903,1.2340167831053312,0.7530096456443341,2.0222814273283376,0.40408168495888186,5400
act_Other,0.061200509111229394,1.0631120564715766,0.6598377928037332,1.7128561851736814,0.8014358068567666,5400
act_R01,0.7174804920735479,2.0492635651014726,1.164169564078544,3.6072761982712906,0.012888569224929591,5400
act_R21/R03,-0.5072718234172615,0.6021360735505746,0.3025296968356078,1.1984537546669984,0.14860680905554832,5400
act_R25 (Education),0.7556963544554189,2.1290936110882956,1.2840981262340012,3.530134895587366,0.0033979732104311025,5400
act_R35/R37,1.201178943834163,3.3240334623477845,1.5409625196357177,7.17032265094924,0.0021958797259397735,5400
act_T (Training),0.09105102555406434,1.0953248933921576,0.5742793917725718,2.0891166203638827,0.7822552043617693,5400
act_U (Cooperative),0.6028629163929936,1.8273428486126244,0.8832955929334778,3.7803674252308634,0.10407981712966657,5400
org_Medical School/Hospital,0.23118327532580904,1.2600901617223461,0.9532410939672632,1.6657141889058953,0.10445224648433671,5400
org_Other,-0.052950789975975215,0.948426683433827,0.6909994304931648,1.3017567513873465,0.7431137636202187,5400
org_School of Public Health,-0.9849928222110403,0.37344190741424105,0.24003756305450805,0.5809876439277052,1.2533955966610983e-05,5400
reg_Northeast,-0.7140984325591123,0.48963335034993555,0.3634468710353464,0.6596309856567376,2.6492326923965427e-06,5400
reg_Other,1.3525687621771305,3.867347077092244,0.7427028560276608,20.13776208521392,0.10813534821199668,5400
reg_Other/Territory,1.321379072057871,3.7485873864137735,2.1261639597289355,6.6090422280377314,4.9436363428153254e-06,5400
reg_Southeast,0.1755979037096613,1.1919586801154516,0.863456670284844,1.6454392490058314,0.2857552651478571,5400
reg_West,-2.1345308649525143,0.11830007607228128,0.08421784203390315,0.16617509616398954,7.872433696139369e-35,5400
src_HHS Reported,10.110381380768612,24597.03978578604,4.666041707981272e-05,12966330009195.229,0.3237874962115236,5400
src_Other,4.747309357386377,115.27370654032741,2.1741425588714926e-07,61118473419.89758,0.6432411100485185,5400
src_Self Reported,10.701679238534203,44430.401764723254,8.292173177818959e-05,23806311791162.473,0.2966869792894077,5400
